"El pasado puede doler, pero, tal como yo lo veo, puedes o huir de él o aprender", "El rey león"
"Hakuna Matata", "El rey león"
"Todos estamos conectados en el gran ciclo de la vida", "El rey león"
"Has olvidado lo que eres y por lo tanto te has olvidado de mí. Mira dentro de ti Simba", "El rey león"
"Mamá siempre decía: la vida es como una caja de bombones, nunca sabes lo que te va a tocar", "Forrest Gump"
"Corre Forrest, Corre!", "Forrest Gump"
"Quien primero golpea, si golpea con bastante fuerza, quizás no tenga que golpear de nuevo", "El Señor de los Anillos"
"Un Anillo para gobernarlos a todos. Un Anillo para encontrarlos, un Anillo para atraerlos a todos y atarlos en las tinieblas", "El Señor de los Anillos"
"¡Salva a la animadora, salva el mundo!", "Heroes"
"Todos esos momentos se perderán en el tiempo, como lágrimas en la lluvia", "Blade Runner"
"Nuestro lema es: más humanos que los humanos", "Blade Runner"
"Ser o no ser, esa es la cuestión", "Hamlet, príncipe de Dinamarca"
"Hacer o no hacer. No sirve intentar, solo hacer", "El Imperio contraataca"
"Hace mucho tiempo, en una galaxia muy, muy lejana...","La Guerra de las Galaxias"
"Que la Fuerza esté contigo","La Guerra de las Galaxias"
"Mantén cerca a tus amigos, pero aún más cerca a tus enemigos", "El Padrino II"
"Los finales felices son historias sin acabar", "El Sr. y la Sra. Smith"
"La vida es un regalo y no pienso desperdiciarla. Nunca se sabe qué cartas repartirá la próxima vez", "Titanic"
"Soy el rey del mundo!", "Titanic"
"La muerte nos sonríe a todos, devolvámosle la sonrisa","Gladiador"
"He cruzado océanos de tiempo para encontrarte", "Drácula"
"Haz lo mejor que puedas con lo que Dios te ha dado", "Forrest Gump"
"A veces el mundo no necesita un héroe; a veces lo que necesita, es un monstruo", "Drácula"
"Los dioses nos envidian porque cada instante nuestro podría ser el último","Troya"
"No existen preguntas sin respuesta, solo preguntas mal formuladas", "Matrix"
"Todos los hombre mueren, pero no todos realmente viven","Corazón Valiente"
"Le voy a hacer una oferta que no podrá rechazar","El Padrino"
"¿Me estás hablando a mi?","Taxi Driver"
"Amar significa no tener que decir nunca lo siento","Historia de amor"
"Elemental, querido Watson","Las aventuras de Sherlock Holmes"
"Hasta la vista, baby", "Terminator II"
"Vamos a necesitar un barco más grande", "Tiburón"
"Está vivo. Está vivo", "Frankenstein"
"Houston, tenemos un problema","Apollo 13"
"sigueme si quieres vivir", "Terminator"
"no es un hombre...es una maquina", "Terminator"
"El mejor amigo de un chico es su madre","Psicosis"
"Por favor, Hal, abre las puertas", "2001: Odisea Espacial"
"Quién salva una vida, salva al mundo entero", "La lista de Schindler"
"No se puede confiar en alguien que no tiene nada que perder","Infiltrados"
"Cierra los ojos e imagina que es un mal sueño", "Los piratas del caribe"
"El pueblo no debería temer al gobierno, el gobierno debería temer al pueblo", "V de vendetta"
"Somos quienes elegimos ser", "Spiderman"
"Dicen que cuando conoces al amor de tu vida, el tiempo se para", "El gran pez"
"Quiero decirte con mi último aliento que siempre te he amado", "El tigre y el dragón"
"Los sueños se convierten en realidad si los deseamos suficiente", "Peter Pan"
"Dicen que si sueñas una cosa más de una vez, seguro que se hará realidad","La bella durmiente"
"¡Solo puede quedar uno!","Los inmortales"
"¿Alguna vez has bailado con el Diablo a la luz de la Luna?", "Batman"
"¿De verdad tengo pinta de tener un plan? ¿Sabes que soy? Soy un perro que corre detrás de los coches. No sabría qué hacer si alcanzara uno","El Caballero Obscuro"
"Algunos hombres sólo quieren ver el mundo arder", "El Caballero Obscuro"
"Anda, alégrame el día", "Harry el Sucio"
"El miedo lleva a la ira, la ira al odio, y el odio hacia el lado oscuro","El Imperio contraataca"
"Espartanos, preparad el desayuno, y alimentaos bien, ¡porque esta noche cenaremos en el infierno!","300"
"Hay una gran diferencia entre conocer el camino y andar el camino", "Matrix"
"No conoces el poder del lado oscuro","El Imperio contraataca"
"Siempre se llega a alguna parte si se camina lo bastante", "Alicia en el país de las maravillas"
"Si conocieras el tiempo tan bien como yo, no hablarías de perderlo", "Alicia en el país de las maravillas"
"No tiene utilidad volver a ayer, porque entonces era una persona distinta", "Alicia en el país de las maravillas"
"Un gran poder conlleva una gran responsabilidad", "Spiderman"
"Un hombre sin miedo es un hombre sin esperanzas", "Daredevil"
"Únicamente cuando se pierde todo somos libres para actuar", "El club de la pelea"
"Volveré", "Terminator"
"El futuro no está establecido. No hay destino. Solo existe el que nosotros hacemos", "Terminator II"
"El tiempo siempre es escaso para quienes lo necesitan, pero para los que aman dura para siempre", "Drácula"
"Me llamo Bond, James Bond", "Agente 007 contra el Dr. No"
"Siempre nos quedará París", "Casablanca"
"Tonto es el que hace tonterías", "Forrest Gump"
"yo... ¡soy tu padre!", "El Imperio contraataca"
"¿Carretera? A donde vamos, no necesitaremos carreteras", "Volver al futuro"
"¡Salven el reloj de la torre!", "Volver al futuro"
"No me conocen y se atreven a juzgarme. Por eso estoy mejor solo", "Shrek"
"La vida va demasiado rápido. Si no te paras y miras a tu alrededor de vez en cuando, puedes perdértela","Todo en un día"
"Los ogros son como las cebollas... las cebollas tienen capas", "Shrek"
"Un enemigo que conoce el futuro no puede perder","Al filo del mañana"
"¿Qué harías si estuvieses anclado en un lugar y todos los días fueran iguales sin importar lo que hicieras?", "El día de la marmota"
"¿Y ahora qué hacemos? No lo sé, nunca hemos llegado tan lejos", "Al filo del mañana"
"Yo sólo puedo mostrarte la puerta, tú eres quien la tiene que atravesar","Matrix"
"No es un problema grave si no lo conviertes en un problema grave", "Del crepúsculo al amanecer"
"La probabilidad de que una persona tenga razón aumenta en relación directa con la insistencia en convencerla de su error","El cielo puede esperar"
"La muerte nos sonríe a todos, devolvámosle la sonrisa", "Gladiador"
"Todos nos volvemos locos alguna vez","Psicosis"
